"person","location","count"
"老人","G35济广高速","1"
"行人","秦皇岛西收费站(G0111秦滨高速出口)","1"
"女子","G10绥满高速","1"
"老人","铜鼓隧道","1"
"女子","G12珲乌高速","1"
"老人","台商区","1"
"男子","商登高速桥","1"
"老人","陕坝停车区(建设中)","1"
"老人","中村电器","1"
"老人","G70福银高速","1"
"老人","双辽南收费站(G25长深高速出口)","1"
"老人","G0121京秦高速","1"
"司机","神农小区","1"
"行人","G42沪蓉高速","1"
"孩子","沂源东收费站(G22青兰高速出口)","1"
"老人","干杉收费站(S42江干高速出口)","1"
"行人","鉴湖服务区","1"
"老人","东高村4区","1"
"老人","G5京昆高速","1"
"行人","S31宜连高速","1"
"老人","清镇收费站(G60沪昆高速出口)","1"
"行人","S1成万高速","1"
"孩子","日月山水","1"
"老人","张家界收费站(G5513长张高速出口)","1"
"老人","沛县安国中学","1"
"老人","昌栗高速","1"
"行人","G25长深高速","1"
"儿童","S20毕威高速","1"
"行人","S11牡延高速","1"
"老人","S15铜大高速","1"
"老人","晋江南收费站(S58晋长高速入口)","1"
"孩子","G4221沪武高速","1"
"老人","东山陈村办公楼","1"
"孩子","G35济广高速","1"
"儿童","G0421许广高速","1"
"行人","城中村委会","1"
"老人","桐子李村","1"
"行人","天井关隧道","1"
"孩子","芮城服务区与G59呼北高速交叉口","1"
"老人","新塘收费站(G4京港澳高速出口)","1"
"男子","S23惠大高速","1"
"老人","古城滩收费站(G6521榆蓝高速出口)","1"
"老人","S14汕湛高速","1"
"行人","济南郭店立交","1"
"行人","坡心互通","1"
"男子","中山坑","1"
"孩子","东二环(地铁站)","1"
"孩子","文陂收费站(S61吉安绕城高速入口)","1"
"老人","青菱湖","1"
"老人","梁文海汽车维修部","1"
"行人","南岳收费站(S51南岳高速东南向)","1"
"行人","G4221沪武高速","1"
"老人","G20青银高速","1"
"司机","G42沪蓉高速","1"
"老人","威海收费站(G18荣乌高速西南向)","1"
"老人","S11京承高速入口(京承高速方向)","1"
"行人","G5012恩广高速","1"
"老人","仁和收费站(S32西绵高速出口)","1"
"行人","京港澳高速口(公交站)","1"
"男子","田里隧道群2号","1"
"行人","延吉西收费站(S12延龙高速入口)","1"
"老人","G60沪昆高速入口(娄底方向)","1"
"老人","S88郑栾高速","1"
"行人","兰海(公交站)","1"
"老人","清远西收费站(G0421许广高速出口)","1"
"老人","吉林省延边朝鲜族自治州人民检察院","1"
"老人","北门市场(北环城路)","1"
"行人","G4京港澳高速入口(郑州方向)","1"
"老人","商丘奥林水泥(南丰直销处)","1"
"行人","南陵家发服务区餐厅","1"
"司机","G45大广高速与G45大广高速入口交叉口","1"
"老人","G1015铁科高速","1"
"老人","漳平南收费站(S30永漳高速出口)","1"
"司机","G50沪渝高速","1"
"行人","淹城服务区","1"
"老人","达川区百节镇工会","1"
"老人","沅江南收费站(S71华常高速入口)","1"
"老人","中山西路-路侧停车位","1"
"老人","枣乡街与民生路交叉口","1"
"男子","G0421许广高速","1"
"老人","京港澳高速口(公交站)","1"
"男子","金利燃气","1"
"女子","南岳收费站(S51南岳高速东南向)","1"
"司机","云县西收费站(G5615天猴高速出口云县方向)","1"
"行人","山东高速大厦","1"
"老人","诸暨收费站(G60沪昆高速出口)","1"
"老人","棉洋服务区","1"
"男子","栖霞收费站(G25长深高速入口)","1"
"老人","合安高速改扩建项目办","1"
"孩子","东阳收费站(G1512甬金高速入口)","1"
"女子","贵阳西收费站(G60沪昆高速出口)","1"
"行人","G9812海琼高速","1"
"老人","大广高速魏县连接线与G45大广高速入口交叉口","1"
"老人","S80衡邵高速","1"
"老人","S27东永高速","1"
"老人","乳山东立交","1"
"男子","油子塘大桥","1"
"老人","蜀源大道","1"
"男子","奥林匹克花园2期停车场(出入口)","1"
"老人","龙城隧道","1"
"老人","红旗村村委会","1"
"女子","屯里大桥","1"
"老人","北五女(公交站)","1"
"老人","内环路","1"
"男子","G15沈海高速","1"
"行人","G7京新高速入口(哈密方向)","1"
"老人","栖霞收费站(G25长深高速入口)","1"
"老人","芜宣枢纽与G50沪渝高速交叉口","1"
"行人","S55宁宣高速","1"
"男子","G42沪蓉高速","1"
"老人","王河服务区（沪渝高速上海方向）","1"
"行人","东山","1"
"行人","绕城高速(公交站)","1"
"老人","马鞍山","1"
"老人","G5012恩广高速","1"
"老人","无棣收费站(G18荣乌高速入口)","1"
"男子","G1京哈高速","1"
"行人","双墩收费站(G40沪陕高速出口)","1"
"老人","G45大广高速","1"
"老人","永乐花海","1"
"行人","S14汕湛高速","1"
"儿童","宣威复兴收费站(S11威砚高速出口西南向)","1"
"老人","茨营收费站(S11威砚高速出口)","1"
"老人","罗平北收费站(G78汕昆高速出口)","1"
"老人","S12滁新高速","1"
"老人","玉溪村民委员会","1"
"男子","珠海大道","1"
"男子","山东高速","1"
"老人","巢黄高速","1"
"行人","奥林匹克花园2期停车场(出入口)","1"
"女子","清家沟服务区","1"
"老人","梧州南高速路口(公交站)","1"
"男子","二台子乔四诊所","1"
"老人","利川收费站(G50沪渝高速出口)","1"
"行人","绍兴收费站(G92杭州湾环线高速出口)","1"
"老人","滨州东收费站(G2516东吕高速出口)","1"
"老人","分水岭隧道","1"
"老人","安岳服务区驿路香自选式快餐","1"
"老人","朝阳镇人民政府","1"
"男子","晴隆服务区","1"
"行人","成环路与S2成巴高速入口交叉口","1"
"行人","S75太行山高速","1"
"行人","宁合高速","1"
"孩子","盛乐镇(公喇嘛)(公交站)","1"
"老人","互通区主线2号桥","1"
"老人","东平收费站(G35济广高速入口)","1"
"老人","安吉北收费站(S14杭长宜高速出口)","1"
"老人","史回收费站(青兰线东向)","1"
"司机","南宁安吉客运站","1"
"老人","滁淮高速","1"
"男子","马鞍山","1"
"男子","G18荣乌高速入口(文登方向)","1"
"男子","跨胶州湾高速大桥","1"
"老人","西柏坡高速","1"
"老人","丽水北收费站(G25长深高速出口)","1"
"老人","宁杭高速","1"
"行人","秦安互通立交","1"
"老人","铁机路(地铁站)","1"
"司机","长沙县黄花镇人民政府","1"
"老人","军运村","1"
"老人","郭店庚辰钢铁宿舍","1"
"老人","水西关南街","1"
"老人","万达广场(湘潭高新店)","1"
"老人","阳光城","1"
"老人","古路","1"
"老人","衢州市衢江区湖南镇破石村民委员会","1"
"孩子","广阳道与新华路交叉口","1"
"老人","住建局","1"
"老人","荆川公园","1"
"司机","晶华路","1"
"老人","北京银行(青年路支行)","1"
"儿童","迎宾路","1"
"老人","中山中路","1"
"老人","宝湖国家湿地公园","1"
"老人","红光大道","1"
"老人","泰山大道","1"
"老人","天宇路","1"
"老人","四公里(地铁站)","1"
"老人","张集村综治中心","1"
"老人","亨特国际广场","1"
"老人","夏集子(公交站)","1"
"老人","资兴市唐洞街道办事处","1"
"老人","中柳林警务站","1"
"男子","西樵","1"
"男子","桥边镇人民政府","1"
"老人","大清路","1"
"老人","沣泾大道","1"
"老人","金虎便利(101电车总站店)","1"
"女子","马良镇人民政府","1"
"老人","三合城村委会","1"
"老人","下林村村委会","1"
"老人","湾甸派出所","1"
"老人","新团路","1"
"老人","奥体中路与轻风路交叉口","1"
"老人","中山北路","1"
"老人","安德街道办事处","1"
"老人","成都市郫都区德源街道禹庙村村民委员会","1"
"老人","增田村(公交站)","1"
"老人","大连森林动物园","1"
"老人","南京北站(地铁站)","1"
"老人","赵庄村","1"
"老人","梅州站","1"
"孩子","纳古派出所","1"
"老人","太白路","1"
"游客","终南山悟真风景区","1"
"老人","弋矶山","1"
"老人","科研巷","1"
"游客","牙梳山","1"
"孩子","洪广镇人民政府","1"
"男子","贺家坪村委会","1"
"老人","白马镇人民政府","1"
"老人","胜利油田胶管大全","1"
"老人","城隍庙小吃","1"
"老人","针织布匹","1"
"老人","苏山村村民委员会","1"
"老人","五峰派出所","1"
"游客","九华山","1"
"老人","景山住宅小区","1"
"老人","齐星花园","1"
"老人","东关屯派出所","1"
"孩子","鼓楼派出所","1"
"老人","石油路","1"
"老人","夏集镇人民政府","1"
"老人","长安欧尚汽车(广德欧宇)","1"
"老人","兴泰路","1"
"孩子","知音桥","1"
"老人","司马光东路","1"
"老人","鼓楼(地铁站)","1"
"女子","麟潭乡人民政府","1"
"孩子","漳州台商投资区","1"
"男子","桂林古镇江璟酒店(漓江景区大圩古镇店)地面停车点(出入口)","1"
"孩子","虎丘山风景区","1"
"游客","古玩(夫子庙步行街店)","1"
"老人","海南路","1"
"老人","大庆路","1"
"孩子","孔府孔庙停车场(出入口)","1"
"老人","海棠溪(地铁站)","1"
"孩子","珠江路(地铁站)","1"
"老人","志新酷车","1"
"孩子","紫荆山(地铁站)","1"
"老人","长白镇人民政府","1"
"老人","牛角沱(地铁站)","1"
"老人","重庆万友都成智电iDD长安新能源","1"
"孩子","红石咀公园","1"
"老人","归化村村委会","1"
"老人","国宝轮胎","1"
"老人","七星派出所","1"
"老人","金桥村谭新明卫生室","1"
"行人","西坞岗","1"
"老人","北营新村丰景佳园","1"
"老人","九龙镇人民政府","1"
"男子","内蒙古自治区人民医院","1"
"老人","中国工商银行(南阳仲景路支行)","1"
"孩子","康金街道兰阳村退役军人服务站","1"
"老人","桂林银行(白圩镇石塘村农村普惠金融综合服务点)","1"
"老人","青岛市人民政府","1"
"老人","劲松北路","1"
"孩子","光南路与环城东路交叉口","1"
"女子","箭扣长城","1"
"女子","小东流(公交站)","1"
"老人","朱穴村村民委员会","1"
"孩子","大鹏西路","1"
"老人","罕井镇人民政府","1"
"老人","商丘古城","1"
"游客","慕士塔格峰","1"
"老人","江边村东社(公交站)","1"
"老人","飞天路","1"
"行人","仙寓山风景区","1"
"孩子","环城路","1"
"老人","司门口","1"
"老人","北京市丰台区太平桥东里幼儿园","1"
"老人","洽水镇中心小学旺洞教学点","1"
"老人","古城镇人民政府","1"
"老人","烈山","1"
"老人","沿河村村民委员会","1"
"儿童","皮塘水库","1"
"老人","大众煤业","1"
"老人","南宁街","1"
"男子","延安机务段","1"
"老人","关庙村公益电影放映点","1"
"儿童","杭州天目山医院","1"
"老人","长风路","1"
"老人","羊里派出所","1"
"老人","如家酒店(海安中坝南路店)","1"
"老人","舟山路","1"
"男子","毛陈镇(公交站)","1"
"老人","后马村村民委员会","1"
"老人","路景苑","1"
"行人","龙山","1"
"老人","正太商贸有限公司","1"
"老人","头道街与文峰北街交叉口","1"
"老人","正泰电气股份有限公司","1"
"老人","启东经济开发区","1"
"老人","余杭街道社区卫生服务中心","1"
"孩子","南通(南京国际博览中心)","1"
"老人","杨安镇人民政府","1"
"老人","国庆路(公交站)","1"
"老人","交通路","1"
"老人","丰乐街道(公交站)","1"
"老人","三山·时代广场","1"
"老人","胜利路","1"
"孩子","曲阜东站(西出站口)","1"
"老人","紫蓬镇人民政府","1"
"儿童","淮海大道","1"
"孩子","四水厂(公交站)","1"
"老人","赵沟","1"
"老人","工业路","1"
"老人","新店镇政府","1"
"老人","铜陵中学","1"
"老人","马桥镇人民政府","1"
"老人","珠海街道办事处社会治理指挥中心","1"
"老人","新寺社区卫生服务中心","1"
"老人","海口市龙华小学","1"
"男子","山西平陆中学","1"
"老人","永前路四区","1"
"老人","闵浦大桥","1"
"老人","平顶山","1"
"老人","手工烘焙","1"
"男子","瑞香村村民委员会","1"
"老人","马鞍山惠农金融服务室","1"
"老人","汤河","1"
"老人","开茂村村民委员会","1"
"老人","株洲市冬季游泳运动协会","1"
"老人","宫夏路","1"
"老人","天雷赛鸽","1"
"女子","二坝镇人民政府","1"
"老人","佛山街","1"
"老人","紫晨商务酒店","1"
"老人","黄台电厂第五宿舍区","1"
"行人","东关屯派出所","1"
"孩子","三里(公交站)","1"
"孩子","人人乐超市(汉神购物广场店)","1"
"孩子","人人乐(凤城五路店)","1"
"老人","长清大学城商业街","1"
"老人","王府井","1"
"行人","工人文化宫","1"
"游客","国贸商城(西区)","1"
"儿童","振兴街","1"
"老人","国贸商城","1"
"行人","大中海步行街","1"
"孩子","大罗山-瑶溪","1"
"老人","东润·万象城","1"
"儿童","七寨湖公园","1"
"老人","大润发(随州店)","1"
"孩子","乐民商厦","1"
"孩子","国泰广场","1"
"老人","西亚生活广场(蓼北路)","1"
"孩子","洁美万家","1"
"老人","梅溪湖公园","1"
"老人","成都铁路工程学校","1"
"孩子","天汉大道","1"
"老人","硚口路","1"
"儿童","林奥CITY PARK","1"
"老人","陵园路与黎明街交叉口","1"
"老人","明湖西路","1"
"老人","西安路","1"
"老人","唐山高新区管委会","1"
"老人","五一路","1"
"老人","堤西路","1"
"游客","星巴克咖啡(西安大兴龙湖星悦荟店)","1"
"孩子","九九广场(美的专卖店)","1"
"老人","西郊商场(滨河路)(公交站)","1"
"老人","麦德龙(厦门湖里商场)","1"
"老人","第三完全小学","1"
"老人","养馋记(文昌路菜场店)","1"
"行人","泰盛广场","1"
"孩子","南京江北新区","1"
"孩子","红旗路","1"
"儿童","西安城市运动公园","1"
"孩子","开濠花园路","1"
"行人","万达广场商管部","1"
"男子","甲子路","1"
"老人","东风商场","1"
"老人","邯山商场(公交站)","1"
"孩子","青岛市人民政府","1"
"儿童","扶光书店","1"
"老人","光长村党群服务中心","1"
"孩子","江汉路","1"
"老人","华南社区","1"
"行人","绿博园","1"
"孩子","长江路","1"
"儿童","齐河德百(公交站)","1"
"孩子","华丰国际商贸城","1"
"老人","天虹(前海店)","1"
"老人","好润佳(沅江店)","1"
"男子","星游城","1"
"孩子","五一广场","1"
"老人","西单","1"
"行人","大同路与福寿街交叉口","1"
"老人","双拥路","1"
"老人","六和源(上海大花园店)","1"
"孩子","德思勤城市广场","1"
"孩子","文化路","1"
"儿童","协信星光时代广场","1"
"孩子","惠安达物流","1"
"老人","文化路","1"
"孩子","紫荆山","1"
"老人","容山商场(环镇路)","1"
"孩子","欧亚大观","1"
"老人","延庆观","1"
"孩子","神农公园","1"
"孩子","归德路","1"
"孩子","万达广场","1"
"老人","沈阳盛京大奥莱","1"
"孩子","南阁村民委员会","1"
"男子","兰州中心","1"
"司机","南石家庄(公交站)","1"
"孩子","丁香路","1"
"老人","西安城市运动公园","1"
"儿童","联手商城","1"
"老人","宾谷街","1"
"儿童","濉溪百货商场","1"
"老人","新淮村(公交站)","1"
"儿童","容桂派出所","1"
"孩子","金环路","1"
"老人","阜阳·临沂商城","1"
"老人","顺德陈村佛具批发商行","1"
"老人","衡百国际","1"
"孩子","袁家巷","1"
"老人","团结公园","1"
"孩子","西溪坪","1"
"儿童","青岛路","1"
"老人","魏公村(地铁站)","1"
"老人","新艺城","1"
"儿童","鲁王路","1"
"儿童","滏阳东路","1"
"老人","八佰伴(集贤南路)","1"
"老人","邵阳九福老年公寓","1"
"孩子","宁海县前童镇专职消防队","1"
"司机","万达广场(合肥包河店)","1"
"老人","永安大桥","1"
"老人","柳泉路","1"
