"city","area","count"
"襄阳市","襄州区","4"
"南阳市","宛城区","4"
"保山市","隆阳区","4"
"绍兴市","越城区","4"
"漯河市","舞阳县","4"
"湘潭市","岳塘区","4"
"常德市","津市市","4"
"滁州市","南谯区","4"
"宿州市","埇桥区","4"
"西安市","鄠邑区","4"
"开封市","鼓楼区","4"
"珠海市","香洲区","4"
"湛江市","雷州市","4"
"江门市","开平市","4"
"遵义市","余庆县","4"
"温州市","瓯海区","3"
"广州市","荔湾区","3"
"北京市","怀柔区","3"
"泉州市","丰泽区","3"
"大同市","平城区","3"
"威海市","乳山市","3"
"南宁市","兴宁区","3"
"长沙市","长沙县","3"
"重庆市","铜梁区","3"
"南昌市","南昌县","3"
"福州市","台江区","3"
"北京市","石景山区","3"
"黄山市","屯溪区","3"
"北京市","门头沟区","3"
"石家庄市","桥西区","3"
"廊坊市","广阳区","3"
"南京市","雨花台区","3"
"沈阳市","沈河区","3"
"江门市","台山市","3"
"广州市","南沙区","3"
"宁波市","余姚市","3"
"盘锦市","双台子区","3"
"海口市","琼山区","3"
"烟台市","芝罘区","3"
"邢台市","襄都区","3"
"安阳市","北关区","3"
"洛阳市","涧西区","3"
"嘉兴市","南湖区","3"
"滨州市","滨城区","3"
"重庆市","开州区","3"
"韶关市","乐昌市","3"
"拉萨市","城关区","3"
"呼和浩特市","赛罕区","3"
"上海市","松江区","3"
"重庆市","垫江县","3"
"开封市","龙亭区","3"
"淮南市","田家庵区","3"
"秦皇岛市","卢龙县","3"
"柳州市","柳南区","3"
"深圳市","盐田区","3"
"广安市","广安区","3"
"桂林市","叠彩区","3"
"西双版纳傣族自治州","景洪市","3"
"海口市","龙华区","3"
"大连市","西岗区","3"
"潍坊市","诸城市","3"
"临沂市","兰陵县","3"
"广州市","黄埔区","3"
"焦作市","武陟县","3"
"蚌埠市","禹会区","3"
"马鞍山市","花山区","3"
"大连市","中山区","3"
"南昌市","进贤县","3"
"惠州市","博罗县","3"
"邯郸市","成安县","3"
"重庆市","武隆区","3"
"安阳市","汤阴县","3"
"攀枝花市","仁和区","3"
"绵阳市","涪城区","3"
"长治市","潞州区","3"
"达州市","大竹县","3"
"杭州市","桐庐县","3"
"石家庄市","平山县","3"
"珠海市","金湾区","3"
"鹤壁市","山城区","3"
"泉州市","惠安县","3"
"保定市","高碑店市","3"
"铜仁市","松桃苗族自治县","3"
"衡阳市","南岳区","3"
"马鞍山市","和县","3"
"怀化市","洪江市","3"
"聊城市","茌平区","3"
"肇庆市","高要区","3"
"汕头市","濠江区","3"
"芜湖市","弋江区","3"
"黔南布依族苗族自治州","荔波县","3"
"宁波市","江北区","3"
"石家庄市","鹿泉区","3"
"天水市","秦安县","3"
"常州市","钟楼区","3"
"随州市","曾都区","3"
"济宁市","曲阜市","3"
"宁德市","蕉城区","3"
"肇庆市","怀集县","3"
"上海市","奉贤区","3"
"平顶山市","卫东区","3"
"株洲市","芦淞区","3"
"温州市","鹿城区","3"
"周口市","川汇区","3"
"江门市","蓬江区","3"
"澳门特别行政区","花王堂区","3"
"金华市","义乌市","3"
"南阳市","邓州市","3"
"湛江市","霞山区","3"
"邵阳市","双清区","3"
"文山壮族苗族自治州","文山市","3"
"枣庄市","滕州市","3"
"南阳市","镇平县","3"
"曲靖市","陆良县","3"
"渭南市","临渭区","2"
"沈阳市","皇姑区","2"
"忻州市","忻府区","2"
"福州市","闽侯县","2"
"鄂州市","鄂城区","2"
"永州市","祁阳市","2"
"桂林市","阳朔县","2"
"香港特别行政区","沙田区","2"
"莆田市","城厢区","2"
"徐州市","鼓楼区","2"
"潍坊市","青州市","2"
"珠海市","斗门区","2"
"泉州市","鲤城区","2"
"海口市","秀英区","2"
"成都市","新都区","2"
"镇江市","润州区","2"
"湘西土家族苗族自治州","凤凰县","2"
"汕头市","澄海区","2"
"揭阳市","普宁市","2"
"成都市","成华区","2"
"张家口市","崇礼区","2"
"北京市","房山区","2"
"重庆市","长寿区","2"
"柳州市","鱼峰区","2"
"潍坊市","昌乐县","2"
"鞍山市","铁东区","2"
"重庆市","巴南区","2"
"乌鲁木齐市","沙依巴克区","2"
"济南市","天桥区","2"
"西安市","临潼区","2"
"泸州市","江阳区","2"
"重庆市","黔江区","2"
"阳江市","江城区","2"
"天津市","津南区","2"
"杭州市","建德市","2"
"成都市","都江堰市","2"
"大庆市","萨尔图区","2"
"天津市","西青区","2"
"枣庄市","薛城区","2"
"临沂市","临沭县","2"
"澳门特别行政区","大堂区","2"
"聊城市","东昌府区","2"
"大连市","沙河口区","2"
"遵义市","习水县","2"
"临汾市","尧都区","2"
"阿拉善盟","阿拉善左旗","2"
"香港特别行政区","九龙城区","2"
"郴州市","北湖区","2"
"杭州市","淳安县","2"
"揭阳市","榕城区","2"
"西安市","蓝田县","2"
"无锡市","锡山区","2"
"榆林市","榆阳区","2"
"莆田市","荔城区","2"
"平顶山市","汝州市","2"
"丽江市","玉龙纳西族自治县","2"
"惠州市","惠东县","2"
"湘潭市","湘潭县","2"
"福州市","福清市","2"
"重庆市","北碚区","2"
"天津市","红桥区","2"
"长春市","二道区","2"
"呼和浩特市","玉泉区","2"
"三明市","宁化县","2"
"成都市","龙泉驿区","2"
"香港特别行政区","深水埗区","2"
"辽阳市","灯塔市","2"
"威海市","文登区","2"
"温州市","平阳县","2"
"景德镇市","珠山区","2"
"池州市","石台县","2"
"喀什地区","喀什市","2"
"延边朝鲜族自治州","敦化市","2"
"保定市","涞水县","2"
"苏州市","常熟市","2"
"信阳市","平桥区","2"
"葫芦岛市","连山区","2"
"塔城地区","塔城市","2"
"秦皇岛市","海港区","2"
"泉州市","石狮市","2"
"淮南市","寿县","2"
"宜昌市","夷陵区","2"
"青岛市","莱西市","2"
"石家庄市","正定县","2"
"银川市","灵武市","2"
"湛江市","遂溪县","2"
"福州市","长乐区","2"
"青岛市","平度市","2"
"大连市","金州区","2"
"银川市","金凤区","2"
"济南市","章丘区","2"
"济宁市","嘉祥县","2"
"乌鲁木齐市","新市区","2"
"重庆市","南川区","2"
"泰州市","海陵区","2"
"岳阳市","岳阳楼区","2"
"郑州市","中牟县","2"
"厦门市","同安区","2"
"德阳市","什邡市","2"
"佛山市","禅城区","2"
"雅安市","雨城区","2"
"眉山市","仁寿县","2"
"重庆市","大渡口区","2"
"安阳市","林州市","2"
"达州市","达川区","2"
"泸州市","纳溪区","2"
"阜阳市","临泉县","2"
"菏泽市","单县","2"
"延边朝鲜族自治州","延吉市","2"
"济宁市","任城区","2"
"宣城市","绩溪县","2"
"宿州市","泗县","2"
"呼和浩特市","新城区","2"
"台州市","临海市","2"
"商洛市","洛南县","2"
"衡阳市","祁东县","2"
"济南市","济阳区","2"
"松原市","宁江区","2"
"湛江市","麻章区","2"
"金华市","兰溪市","2"
"聊城市","冠县","2"
"荆门市","钟祥市","2"
"郑州市","新密市","2"
"吉林市","丰满区","2"
"株洲市","攸县","2"
"南充市","嘉陵区","2"
"苏州市","吴江区","2"
"淄博市","沂源县","2"
"郴州市","宜章县","2"
"肇庆市","四会市","2"
"贵阳市","清镇市","2"
"巴中市","恩阳区","2"
"张家界市","永定区","2"
"黄冈市","团风县","2"
"徐州市","沛县","2"
"六安市","金安区","2"
"郴州市","临武县","2"
"漳州市","平和县","2"
"铜陵市","郊区","2"
"晋城市","泽州县","2"
"衡阳市","衡东县","2"
"西安市","灞桥区","2"
"巴中市","巴州区","2"
"德州市","平原县","2"
"西宁市","城东区","2"
"清远市","清城区","2"
"龙岩市","漳平市","2"
"益阳市","沅江市","2"
"绍兴市","诸暨市","2"
"金华市","东阳市","2"
"昆明市","安宁市","2"
"商丘市","夏邑县","2"
"曲靖市","宣威市","2"
"滁州市","定远县","2"
"郴州市","苏仙区","2"
"郴州市","桂东县","2"
"南京市","溧水区","2"
"宜昌市","五峰土家族自治县","2"
"贵港市","港北区","2"
"凉山彝族自治州","会理市","2"
"宿州市","灵璧县","2"
"北海市","合浦县","2"
"玉溪市","通海县","2"
"宝鸡市","眉县","2"
"沈阳市","康平县","2"
"信阳市","光山县","2"
"重庆市","彭水苗族土家族自治县","2"
"合肥市","肥东县","2"
"自贡市","大安区","2"
"商丘市","永城市","2"
"湖州市","吴兴区","2"
"运城市","平陆县","2"
"三亚市","海棠区","2"
"芜湖市","鸠江区","2"
"淮安市","盱眙县","2"
"三门峡市","湖滨区","2"
"保定市","莲池区","2"
"兰州市","七里河区","2"
"临沂市","郯城县","2"
"宁波市","鄞州区","2"
"武汉市","新洲区","2"
"日照市","东港区","2"
"赤峰市","松山区","2"
"邯郸市","峰峰矿区","2"
"宁波市","宁海县","2"
"重庆市","綦江区","2"
"许昌市","长葛市","2"
"阳江市","阳春市","2"
"驻马店市","平舆县","2"
"上海市","金山区","2"
"遵义市","道真仡佬族苗族自治县","2"
"湘西土家族苗族自治州","保靖县","2"
"南阳市","桐柏县","2"
"潍坊市","奎文区","2"
"吕梁市","孝义市","2"
"鹤壁市","淇滨区","2"
"永州市","冷水滩区","2"
"益阳市","赫山区","2"
"娄底市","娄星区","2"
"徐州市","云龙区","2"
"朝阳市","凌源市","2"
"苏州市","太仓市","2"
"天水市","武山县","2"
"曲靖市","会泽县","2"
"淄博市","周村区","2"
"唐山市","迁安市","2"
"潍坊市","坊子区","2"
"阿坝藏族羌族自治州","小金县","2"
"张家口市","赤城县","1"
"晋城市","晋城区","1"
"九江市","浔阳区","1"
"咸阳市","杨陵区","1"
"银川市","西夏区","1"
"北京市","平谷区","1"
"天津市","北辰区","1"
"赣州市","南康区","1"
"重庆市","忠县","1"
"包头市","青山区","1"
"怒江傈僳族自治州","泸水市","1"
"葫芦岛市","绥中县","1"
"成都市","新津区","1"
"朝阳市","双塔区","1"
"三亚市","天涯区","1"
"西宁市","城北区","1"
"合肥市","庐江县","1"
"玉溪市","红塔区","1"
"黔东南苗族侗族自治州","凯里市","1"
"邢台市","平乡县","1"
"中卫市","中宁县","1"
"赤峰市","克什克腾旗","1"
"阜阳市","颍东区","1"
"漳州市","龙文区","1"
"长春市","南关区","1"
"东营市","东营区","1"
"红河哈尼族彝族自治州","建水县","1"
"商丘市","虞城县","1"
"重庆市","合川区","1"
"宁波市","慈溪市","1"
"厦门市","海沧区","1"
"湘西土家族苗族自治州","永顺县","1"
"重庆市","璧山区","1"
"文山壮族苗族自治州","丘北县","1"
"香港特别行政区","黃大仙区","1"
"清远市","清新区","1"
"张掖市","甘州区","1"
"云浮市","罗定市","1"
"本溪市","桓仁满族自治县","1"
"无锡市","梁溪区","1"
"淮安市","清江浦区","1"
"天津市","河西区","1"
"天津市","武清区","1"
"东营市","利津县","1"
"唐山市","曹妃甸区","1"
"天津市","蓟州区","1"
"吉安市","安福县","1"
"肇庆市","端州区","1"
"衡阳市","蒸湘区","1"
"承德市","隆化县","1"
"嘉兴市","嘉善县","1"
"桂林市","雁山区","1"
"池州市","青阳县","1"
"大兴安岭地区","加格达奇区","1"
"重庆市","涪陵区","1"
"嘉兴市","秀洲区","1"
"六盘水市","水城区","1"
"内江市","威远县","1"
"西双版纳傣族自治州","勐腊县","1"
"新乡市","红旗区","1"
"大连市","旅顺口区","1"
"湘西土家族苗族自治州","龙山县","1"
"洛阳市","嵩县","1"
"那曲市","色尼区","1"
"天水市","秦州区","1"
"伊犁哈萨克自治州","伊宁市","1"
"新乡市","长垣市","1"
"铜仁市","江口县","1"
"徐州市","贾汪区","1"
"德州市","德城区","1"
"湖州市","南浔区","1"
"烟台市","牟平区","1"
"南平市","武夷山市","1"
"新乡市","凤泉区","1"
"贺州市","八步区","1"
"重庆市","城口县","1"
"漳州市","漳浦县","1"
"乌鲁木齐市","米东区","1"
"白银市","平川区","1"
"天津市","滨海新区","1"
"吉林市","永吉县","1"
"潍坊市","潍城区","1"
"南阳市","西峡县","1"
"吉林市","龙潭区","1"
"漳州市","芗城区","1"
"烟台市","龙口市","1"
"绵阳市","江油市","1"
"辽阳市","白塔区","1"
"赤峰市","巴林左旗","1"
"泰州市","兴化市","1"
"九江市","庐山市","1"
"重庆市","梁平区","1"
"滨州市","邹平市","1"
"中卫市","海原县","1"
"承德市","承德县","1"
"昭通市","鲁甸县","1"
"牡丹江市","爱民区","1"
"深圳市","坪山区","1"
"扬州市","江都区","1"
"阿坝藏族羌族自治州","茂县","1"
"自贡市","富顺县","1"
"海东市","乐都区","1"
"鸡西市","密山市","1"
"桂林市","七星区","1"
"乌鲁木齐市","头屯河区","1"
"营口市","站前区","1"
"牡丹江市","阳明区","1"
"柳州市","城中区","1"
"郑州市","荥阳市","1"
"伊春市","伊美区","1"
"西宁市","湟中区","1"
"金昌市","金川区","1"
"广元市","苍溪县","1"
"茂名市","电白区","1"
"镇江市","句容市","1"
"天水市","麦积区","1"
"乌鲁木齐市","水磨沟区","1"
"重庆市","潼南区","1"
"秦皇岛市","北戴河区","1"
"喀什地区","塔什库尔干塔吉克自治县","1"
"清远市","佛冈县","1"
"深圳市","光明区","1"
"永州市","宁远县","1"
"南充市","顺庆区","1"
"岳阳市","平江县","1"
"乐山市","犍为县","1"
"香港特别行政区","元朗区","1"
"海东市","平安区","1"
"宿州市","砀山县","1"
"吉林市","昌邑区","1"
"澳门特别行政区","嘉模堂区","1"
"揭阳市","揭东区","1"
"丽江市","华坪县","1"
"张家口市","桥东区","1"
"临沂市","河东区","1"
"锦州市","凌河区","1"
"池州市","东至县","1"
"南阳市","南召县","1"
"新乡市","辉县市","1"
"桂林市","临桂区","1"
"来宾市","象州县","1"
"楚雄彝族自治州","禄丰市","1"
"巴音郭楞蒙古自治州","尉犁县","1"
"伊犁哈萨克自治州","巩留县","1"
"大理白族自治州","永平县","1"
"重庆市","荣昌区","1"
"陇南市","徽县","1"
"鹤壁市","鹤山区","1"
"鹤壁市","浚县","1"
"乌兰察布市","察哈尔右翼前旗","1"
"牡丹江市","东安区","1"
"平顶山市","宝丰县","1"
"宝鸡市","渭滨区","1"
"荆州市","荆州区","1"
"海西蒙古族藏族自治州","格尔木市","1"
"淮北市","杜集区","1"
"信阳市","浉河区","1"
"长春市","榆树市","1"
"南京市","六合区","1"
"承德市","双桥区","1"
"滨州市","沾化区","1"
"榆林市","神木市","1"
"四平市","梨树县","1"
"包头市","昆都仑区","1"
"亳州市","谯城区","1"
"天津市","宝坻区","1"
"宁德市","寿宁县","1"
"松原市","前郭尔罗斯蒙古族自治县","1"
"怀化市","鹤城区","1"
"河源市","紫金县","1"
"秦皇岛市","抚宁区","1"
"绥化市","肇东市","1"
"宜春市","铜鼓县","1"
"开封市","兰考县","1"
"巴彦淖尔市","临河区","1"
"四平市","双辽市","1"
"临汾市","侯马市","1"
"长沙市","宁乡市","1"
"安康市","宁陕县","1"
"萍乡市","上栗县","1"
"承德市","双滦区","1"
"毕节市","赫章县","1"
"延边朝鲜族自治州","汪清县","1"
"铜仁市","玉屏侗族自治县","1"
"六安市","霍山县","1"
"运城市","芮城县","1"
"惠州市","龙门县","1"
"吉安市","青原区","1"
"安庆市","岳西县","1"
"吴忠市","盐池县","1"
"常德市","桃源县","1"
"南充市","西充县","1"
"新乡市","原阳县","1"
"周口市","郸城县","1"
"芜湖市","南陵县","1"
"黄石市","阳新县","1"
"白城市","通榆县","1"
"嘉兴市","桐乡市","1"
"清远市","阳山县","1"
"呼和浩特市","土默特左旗","1"
"临沧市","云县","1"
"梅州市","五华县","1"
"邯郸市","大名县","1"
"安庆市","桐城市","1"
"淄博市","博山区","1"
"安庆市","潜山市","1"
"滨州市","无棣县","1"
"合肥市","长丰县","1"
"黄冈市","黄州区","1"
"河源市","龙川县","1"
"云浮市","新兴县","1"
"曲靖市","麒麟区","1"
"曲靖市","罗平县","1"
"晋城市","沁水县","1"
"芜湖市","繁昌区","1"
"邢台市","信都区","1"
"梧州市","龙圩区","1"
"恩施土家族苗族自治州","利川市","1"
"白山市","靖宇县","1"
"汉中市","勉县","1"
"资阳市","安岳县","1"
"黔西南布依族苗族自治州","晴隆县","1"
"成都市","金堂县","1"
"邢台市","沙河市","1"
"呼和浩特市","和林格尔县","1"
"泰安市","东平县","1"
"长治市","潞城区","1"
"遵义市","务川仡佬族苗族自治县","1"
"襄阳市","南漳县","1"
"焦作市","修武县","1"
"丽水市","遂昌县","1"
"衢州市","衢江区","1"
"乌兰察布市","卓资县","1"
"阜阳市","太和县","1"
"十堰市","竹山县","1"
"邵阳市","邵东市","1"
"桂林市","秀峰区","1"
"郴州市","资兴市","1"
"宜昌市","点军区","1"
"榆林市","佳县","1"
"咸阳市","泾阳县","1"
"白山市","临江市","1"
"保山市","昌宁县","1"
"昌吉回族自治州","昌吉市","1"
"怀化市","辰溪县","1"
"三明市","永安市","1"
"周口市","鹿邑县","1"
"梅州市","梅江区","1"
"宣城市","泾县","1"
"西安市","阎良区","1"
"银川市","贺兰县","1"
"宜昌市","长阳土家族自治县","1"
"泰州市","高港区","1"
"遵义市","播州区","1"
"昌吉回族自治州","木垒哈萨克自治县","1"
"喀什地区","泽普县","1"
"淮南市","凤台县","1"
"宣城市","广德市","1"
"石家庄市","灵寿县","1"
"赣州市","崇义县","1"
"漳州市","龙海区","1"
"桂林市","灵川县","1"
"大庆市","肇州县","1"
"台州市","玉环市","1"
"十堰市","张湾区","1"
"白山市","长白朝鲜族自治县","1"
"滨州市","惠民县","1"
"邢台市","南宫市","1"
"双鸭山市","宝山区","1"
"德阳市","绵竹市","1"
"哈尔滨市","呼兰区","1"
"南宁市","上林县","1"
"金华市","金东区","1"
"商丘市","睢阳区","1"
"克孜勒苏柯尔克孜自治州","阿克陶县","1"
"阜阳市","颍上县","1"
"淮北市","烈山区","1"
"贵港市","桂平市","1"
"安阳市","安阳县","1"
"济南市","莱芜区","1"
"南通市","海安市","1"
"孝感市","孝南区","1"
"蚌埠市","固镇县","1"
"南通市","启东市","1"
"德州市","乐陵市","1"
"宿州市","萧县","1"
"重庆市","永川区","1"
"南阳市","内乡县","1"
"焦作市","沁阳市","1"
"昭通市","巧家县","1"
"南昌市","红谷滩区","1"
"铜陵市","义安区","1"
"广州市","从化区","1"
"金华市","磐安县","1"
"温州市","永嘉县","1"
"攀枝花市","西区","1"
"凉山彝族自治州","越西县","1"
"马鞍山市","含山县","1"
"黄冈市","罗田县","1"
"绵阳市","北川羌族自治县","1"
"淄博市","桓台县","1"
"巴彦淖尔市","五原县","1"
"朔州市","平鲁区","1"
"鞍山市","海城市","1"
"揭阳市","揭西县","1"
"重庆市","江津区","1"
"沈阳市","大东区","1"
"香港特别行政区","葵青区","1"
"济南市","平阴县","1"
"苏州市","张家港市","1"
"郑州市","登封市","1"
"汉中市","汉台区","1"
"绵阳市","梓潼县","1"
"延安市","甘泉县","1"
"沈阳市","铁西区","1"
"商洛市","商南县","1"
"赣州市","宁都县","1"
"福州市","连江县","1"
"衡水市","深州市","1"
"大庆市","杜尔伯特蒙古族自治县","1"
"鞍山市","立山区","1"
"潮州市","潮安区","1"
"香港特别行政区","观塘区","1"
"黄冈市","红安县","1"
"铜陵市","枞阳县","1"
"十堰市","郧阳区","1"
"德州市","齐河县","1"
"阜阳市","颍州区","1"
"佳木斯市","郊区","1"
"台北市","万华区","1"
"哈尔滨市","道外区","1"
"安庆市","怀宁县","1"
"淮北市","相山区","1"
"南阳市","方城县","1"
"淮北市","濉溪县","1"
"阜阳市","颍泉区","1"
"杭州市","祥符区","1"
"广州市","增城区","1"
"衡水市","桃城区","1"
"无锡市","江阴市","1"
"沧州市","河间市","1"
"邵阳市","隆回县","1"
"安庆市","大观区","1"
"邵阳市","邵阳县","1"
"齐齐哈尔市","龙沙区","1"
"梧州市","蒙山县","1"
"保定市","涿州市","1"
"湘潭市","雨湖区","1"
"钦州市","钦北区","1"
"驻马店市","遂平县","1"
"包头市","九原区","1"
"重庆市","大足区","1"
"广元市","青川县","1"
"昆明市","晋宁区","1"
"株洲市","炎陵县","1"
"德州市","禹城市","1"
"云浮市","云安区","1"
"盘锦市","盘山县","1"
"南宁市","宾阳县","1"
"德州市","陵城区","1"
"南昌市","湾里区","1"
"株洲市","醴陵市","1"
"邢台市","清河县","1"
"梅州市","梅县区","1"
"三门峡市","陕州区","1"
"宜宾市","长宁县","1"
"广元市","剑阁县","1"
"宝鸡市","陈仓区","1"
"安康市","白河县","1"
"唐山市","开平区","1"
"兰州市","安宁区","1"
"衡阳市","珠晖区","1"
"阜新市","海州区","1"
"佳木斯市","桦南县","1"
"淮南市","潘集区","1"
"许昌市","鄢陵县","1"
"漳州市","长泰县","1"
"池州市","贵池区","1"
"襄阳市","樊城区","1"
"甘南藏族自治州","合作市","1"
"福州市","晋安区","1"
"绵阳市","游仙区","1"
"济宁市","微山县","1"
"信阳市","潢川县","1"
"唐山市","滦州市","1"
"嘉兴市","平湖市","1"
"阜阳市","阜南县","1"
"怀化市","麻阳苗族自治县","1"
"济宁市","兖州区","1"
"景德镇市","乐平市","1"
"株洲市","渌口区","1"
"商丘市","柘城县","1"
"绍兴市","上虞区","1"
"常德市","澧县","1"
"南通市","海门区","1"
"南通市","如皋市","1"
"齐齐哈尔市","铁锋区","1"
"咸宁市","崇阳县","1"
"凉山彝族自治州","会理县","1"
"安阳市","殷都区","1"
"许昌市","襄城县","1"
"平凉市","庄浪县","1"
"怀化市","会同县","1"
"丹东市","振兴区","1"
"眉山市","洪雅县","1"
"许昌市","禹州市","1"
"厦门市","翔安区","1"
"邵阳市","洞口县","1"
