"area","location","count"
"泗县","顺河村村民委员会","2"
"镇安县","G65包茂高速","2"
"越城区","S24绍诸高速","2"
"龙华区","阳台山","2"
"蔡甸区","龙阳大道","2"
"洪山区","光谷创业街","2"
"牡丹区","山东高速","2"
"祁东县","G72泉南高速","2"
"宁江区","G45大广高速入口(长春方向)","2"
"闵行区","闵浦大桥","2"
"兰溪市","G25长深高速","2"
"冠县","S1济聊高速","2"
"惠安县","台商区","2"
"丰满区","G1211吉黑高速","2"
"攸县","神农小区","2"
"四会市","四会市森普新材料科技有限公司","2"
"团风县","G4221沪武高速","2"
"和县","和县收费站(S22天天高速出口)","2"
"松桃苗族自治县","苗王城西收费站(S15松从高速入口)","2"
"郊区","G50沪渝高速","2"
"巴州区","G5012恩广高速","2"
"惠济区","郑州财经学院","2"
"平原县","G3京台高速","2"
"惠济区","京港澳高速口(公交站)","2"
"城东区","南滩派出所","2"
"茌平区","华鲁街与建设路交叉口","2"
"常宁市","S71华常高速","2"
"诸暨市","诸暨收费站(G60沪昆高速出口)","2"
"栖霞区","栖霞收费站(G25长深高速入口)","2"
"永康市","S27东永高速","2"
"花山区","马鞍山","2"
"苏仙区","郴州市儿童医院","2"
"黄陂区","黄陂区六指街道西湖村委会","2"
"桂东县","桂东县人民医院","2"
"朝阳区","北京银行(青年路支行)","2"
"会理市","滨河路","2"
"三河市","燕郊镇人民政府","2"
"郫都区","新民场","2"
"合浦县","廉州镇廉西小学","2"
"渝中区","牛角沱(地铁站)","2"
"莲湖区","申通快递(太白路)","2"
"康平县","东关屯派出所","2"
"汉阳区","马沧湖","2"
"惠阳区","白云嶂","2"
"彭水苗族土家族自治县","彭水妇幼保健院","2"
"万州区","重庆万友都成智电iDD长安新能源","2"
"大安区","国宝轮胎","2"
"小店区","北营新村丰景佳园","2"
"鄠邑区","黄柏峪","2"
"芙蓉区","解放西路","2"
"红花岗区","星力城A馆","2"
"丰台区","千灵山","2"
"红花岗区","遵义医学院(公交站)","2"
"福田区","深圳市福田中学","2"
"蒲城县","解放路","2"
"武昌区","武商梦时代","2"
"老城区","洛阳桥","2"
"长清区","长清大学城商业街","2"
"朝阳区","朝阳大悦城","2"
"盱眙县","国贸商城","2"
"路凼填海区","澳门上葡京综合度假村","2"
"渝中区","国泰广场","2"
"沙坪坝区","龙湖·U城","2"
"路北区","唐山吾悦广场","2"
"静安区","静安大悦城","2"
"思明区","厦门万象城","2"
"卫东区","湖岸新城","2"
"雁塔区","西安路","2"
"东方市","东方新天地","2"
"栖霞区","金鹰湖滨天地","2"
"南谯区","九九广场(美的专卖店)","2"
"湖里区","麦德龙(厦门湖里商场)","2"
"七里河区","兰州中心","2"
"未央区","西安城市运动公园","2"
"普陀区","上海月星环球港","2"
"东城区","东单(地铁站)","2"
"洪山区","武汉站","2"
"武侯区","大悦城","2"
"开福区","湖南国际金融大厦","2"
"历下区","济南恒隆广场","2"
"浦东新区","南浦广场公园","2"
"和平区","文化路","2"
"徐汇区","ENZO港汇恒隆广场","2"
"渝北区","两江新区","2"
"梁园区","归德路","2"
"大兴区","LIVAT荟聚(北京荟聚店)","2"
"碑林区","新艺城","2"
"芙蓉区","古曲路","2"
"东城区","南站幸福路","2"
"丛台区","丛台路","2"
"集美区","厦门园林博览苑","2"
"保靖县","梁山村村民委员会","2"
"固始县","观堂乡人民政府","2"
"船山区","天宫北路","2"
"奎文区","胜利东街","2"
"黄岛区","王家台后村级组织服务站","2"
"渭城区","新兴路","2"
"台山市","台电大坑水库","2"
"牡丹区","太湖路与济南路交叉口","2"
"兴庆区","杞福巷","2"
"武昌区","武昌站","2"
"凌源市","朝阳路","2"
"鹿城区","学院路","2"
"黄岛区","铁橛山路","2"
"武山县","洛门镇人民政府","2"
"会泽县","曙光小区","2"
"鹿泉区","获鹿镇人民政府","2"
"玄武区","紫金山","2"
"迁安市","磨石庵村公益电影放映点","2"
"坊子区","潍坊市坊子区凤凰街道社区卫生服务中心","2"
"小金县","巴朗山","2"
"北关区","安阳市实验中学","2"
"赤城县","后城镇人民政府","1"
"晋城区","市道路运输管理局(公交站)","1"
"宝山区","宜家家居(宝山商场)","1"
"静安区","交通公园","1"
"瓯海区","天长岭隧道","1"
"虹口区","上海外滩茂悦大酒店(装修中)","1"
"临渭区","乐天大街","1"
"洪山区","南湖校区社区居委会","1"
"浔阳区","南湖公园","1"
"皇姑区","瑞幸咖啡沈阳师范大学南区店","1"
"蜀山区","红鑫新村","1"
"吉阳区","三亚美高梅度假酒店","1"
"金水区","龙湖金融岛","1"
"普陀区","镇坪路(地铁站)","1"
"东湖区","农资公司小区","1"
"忻府区","忻州师范学院(新校区)","1"
"荔湾区","周门","1"
"武侯区","四川省成都市武侯高级中学","1"
"长安区","龚尚嘉苑","1"
"杨陵区","西北农林科技大学北校区","1"
"闵行区","上海交通大学闵行校区密西根学院","1"
"闽侯县","福州大学旗山校区","1"
"鄂城区","银河山庄","1"
"大理市","正阳时代广场(正阳女人淘宝大世界西南)","1"
"城关区","雁滩北面滩新村","1"
"长宁区","东华大学延安路校区","1"
"怀柔区","范崎路","1"
"李沧区","东李村(公交站)","1"
"丰泽区","万达广场(泉州浦西店)","1"
"思明区","曾厝垵","1"
"竞秀区","保定万博广场","1"
"西夏区","宁夏大学贺兰山校区","1"
"裕华区","Tineco添可(万达旗舰店)","1"
"沙坪坝区","重庆大学A区学生公寓","1"
"江南区","良凤江国家森林公园","1"
"平谷区","金海湖","1"
"中西区","香港大学","1"
"天河区","天鹅花苑","1"
"北辰区","天津市公安局北辰分局","1"
"平城区","大同古城","1"
"南康区","赣州西站","1"
"昆山市","昆玉九里","1"
"乳山市","威海乳山市银滩海滩","1"
"兴宁区","广西壮族自治区药用植物园","1"
"萧山区","浙江省萧山中学","1"
"祁阳市","陶铸公园","1"
"南开区","天津大学卫津路校区","1"
"雁塔区","龙湖西安曲江星悦荟","1"
"越秀区","白云山风景名胜区售票处","1"
"忠县","福田小区","1"
"兴宁区","盛天东郡","1"
"朝阳区","北京银泰中心in01","1"
"皇姑区","辽河","1"
"海淀区","海淀区第二实验小学(清宁校区)","1"
"渝中区","魁星楼","1"
"青山区","锦林公园","1"
"和平区","中山广场","1"
"西湖区","荷花苑","1"
"洪山区","湖北工业大学","1"
"长沙县","长沙黄花国际机场","1"
"武侯区","成都王府井购物中心(科华店)","1"
"海淀区","首尔798韩国料理地区(五道口东源店)","1"
"南岸区","长嘉汇","1"
"泸水市","怒江大峡谷","1"
"海淀区","玉渊潭公园","1"
"卧龙区","南阳师范学院","1"
"阳朔县","阳朔栖溪美地度假酒店","1"
"渝中区","嘉陵江大桥","1"
"管城回族区","郑州市管城回族区人民医院","1"
"绥中县","风景区(公交站)","1"
"西城区","景山公园","1"
"新建区","江西禹港国际卡丁车馆","1"
"黄浦区","上海共舞台","1"
"和平区","天津广播电视台(卫津路)","1"
"宝安区","金域豪庭","1"
"开福区","湖南博物院","1"
"龙华区","民治(地铁站)","1"
"武昌区","海底世界","1"
"嘉定区","罗家路","1"
"花溪区","贵州大学东校区","1"
"泉山区","三胞国际广场","1"
"芙蓉区","司门口","1"
"吴中区","海底捞火锅(悠方店)","1"
"江夏区","俪湖天地","1"
"城厢区","凤达山庄","1"
"新津区","成都市新津区人民政府","1"
"渝中区","重庆佛图关公园","1"
"中西区","皇后中心","1"
"龙华区","龙华(地铁站)","1"
"朝阳区","中华民族博物院","1"
"鼓楼区","金地商都(徐州彭城店)","1"
"渝中区","重庆美术馆","1"
"岳麓区","中南大学北校区","1"
"青州市","平章府","1"
"双塔区","慧敏冷面麻辣烫(凌水家园店)","1"
"南山区","深圳保利文化广场","1"
"泉山区","中国矿业大学文昌校区","1"
"渝北区","龙溪(地铁站)","1"
"金坛区","茅山服务区","1"
"海城区","涠洲岛","1"
"天涯区","三亚湾红树林度假世界","1"
"金水区","河南省人民医院科教大厦","1"
"朝阳区","伊藤洋华堂","1"
"浦东新区","南码头","1"
"台江区","鳌峰苑","1"
"鼓楼区","一南创意空间","1"
"朝阳区","北京朝阳站(地铁站)","1"
"吴中区","湖东新街口","1"
"昌平区","北京科技职业学院","1"
"城北区","中国藏医药文化博物馆","1"
"朝阳区","四惠桥","1"
"石景山区","北方工业大学","1"
"昌平区","华北电力大学","1"
"庐江县","桂元村村委会","1"
"上城区","城站路与清泰街交叉口","1"
"尖草坪区","太原市森林公园","1"
"红塔区","筑友集团云南玉溪科技园(建设中)","1"
"云岩区","金阳南路(南)(公交站)","1"
"凯里市","快活林亮欢寨","1"
"渝中区","重庆来福士洲际酒店","1"
"花溪区","甲秀南路","1"
"昆山市","东苏克路","1"
"平乡县","信誉楼","1"
"斗门区","接霞庄","1"
"鲤城区","炉边炭","1"
"屯溪区","黄山栢景假日酒店","1"
"渝中区","渝宗火锅(得意潮馆店)","1"
"嘉定区","右岸嘉园","1"
"吴中区","天池山","1"
"碑林区","中贸广场","1"
"门头沟区","石门营收费站(西六环入口)","1"
"渝中区","上清寺","1"
"大兴区","北臧村镇人民政府","1"
"洪山区","清江山水","1"
"东城区","天安门","1"
"天河区","华南理工大学五山校区","1"
"南山区","深圳大学粤海校区","1"
"中宁县","中宁县恩和镇宋庄","1"
"历城区","黑龙峪村民委员会","1"
"盘龙区","昆明植物园","1"
"渝中区","朝天门码头","1"
"秀英区","晨晖·西海岸广场","1"
"拱墅区","下城区综合楼","1"
"西山区","昆明市海口林场森林公园","1"
"和平区","天津天河城购物中心(金街店)","1"
"海淀区","西土城(地铁站)","1"
"黄陂区","巢上城","1"
"新都区","三合嘉苑","1"
"福田区","信息枢纽大厦","1"
"朝阳区","长春工业大学南湖校区","1"
"天河区","海心沙亚运公园","1"
"朝阳区","弘善家园","1"
"东城区","北京东直门三里屯王府井公寓","1"
"西湖区","浙江大学(玉泉校区)","1"
"天河区","华南农业大学","1"
"章贡区","赣州市人民医院","1"
"碑林区","西北大学太白校区","1"
"克什克腾旗","乌兰布统景区","1"
"武昌区","武汉大学工学部","1"
"海淀区","北京西山国家森林公园鬼笑石","1"
"泰山区","山东农业大学泮河校区学生公寓","1"
"桥西区","顺美华庭","1"
"润州区","大华面馆","1"
"颍东区","岳家湖公园","1"
"澄海区","和翔花园","1"
"徐汇区","衡山路(地铁站)","1"
"普宁市","星河驾校","1"
"泉山区","雨润新城","1"
"西城区","杨梅竹斜街","1"
"古城区","麒麟庄园","1"
"成华区","万象城二期","1"
"青浦区","朱家角","1"
"栖霞区","亚东商业广场","1"
"金平区","乐业园小学","1"
"龙文区","龙文互通主线桥","1"
"崂山区","青岛科技大学(崂山校区)","1"
"秦都区","陕西国际商贸学院","1"
"渝中区","赛格尔国际大厦","1"
"屯溪区","老街","1"
"白云区","六片山","1"
"南山区","南山村(公交站)","1"
"市南区","香港中路","1"
"南关区","净月潭国家森林公园","1"
"东营区","银座商城(东城店)","1"
"通州区","首创国际半岛展位(暂停营业)","1"
"广阳区","廊坊市自然公园-欢乐动物园","1"
"虹口区","逸仙路","1"
"龙岗区","龙岗老干中心(公交站)","1"
"浦东新区","高行绿洲五期","1"
"建水县","朱家花园","1"
"朝阳区","呼家楼(地铁站)","1"
"秦淮区","先锋书店(老门东店)","1"
"吉阳区","三亚亚龙湾国家旅游度假区","1"
"老城区","隋唐洛阳城应天门遗址","1"
"岳麓区","潇湘奥林匹克花园","1"
"虞城县","木兰大道","1"
"合川区","重庆市合川区双凤镇佛山村村民委员会","1"
"南山区","哈尔滨工业大学深圳校区","1"
"上城区","杭州湖滨银泰in77","1"
"碑林区","雁塔立交","1"
"锦江区","成都娇子音乐厅","1"
"裕华区","维多利亚时代","1"
"城关区","东岗立交桥","1"
"天河区","黄埔大道(地铁站)","1"
"慈溪市","北仑上海","1"
"武昌区","台铃电动车(白沙洲大道店)","1"
"南山区","深圳湾公园","1"
"河东区","保利管道(U6街区店)","1"
"南明区","花果园","1"
"江北区","天主教重庆总教区江北城德肋撒天主堂","1"
"龙岗区","桂芳园6期","1"
"雨花台区","阅城国际花园","1"
"闵行区","龙湖虹桥天街购物中心","1"
"沈河区","新华科技大厦","1"
"蔡甸区","沌口","1"
"青羊区","人民公园","1"
"台山市","海宴镇望头村新时代文明实践站","1"
"仓山区","仓山园生活区","1"
"海淀区","北京电影制片厂(装修中)","1"
"长寿区","祠堂","1"
"福田区","莲花山公园","1"
"南沙区","黄阁(地铁站)","1"
"钱塘区","庆菱路","1"
"天心区","华银南苑","1"
"洪山区","洪山区行政中心","1"
"静安区","余姚路与胶州路交叉口","1"
"顺义区","东六环","1"
"宝山区","上大聚丰园","1"
"余姚市","横省石牌坊","1"
"鱼峰区","窑埠古镇","1"
"杏花岭区","桃园二巷","1"
"历下区","燕山","1"
"海沧区","蓝月湾(公交站)","1"
"阳朔县","龙胜管","1"
"沙坪坝区","渣滓洞监狱旧址","1"
"永顺县","杉木村农贸市场","1"
"黄岛区","青岛西海岸新区","1"
"番禺区","洛浦路","1"
"江北区","徐悲鸿故居","1"
"璧山区","缤舍酒店(成都春熙路店)","1"
"武进区","麻省理功-深海烤鱼(江南环球港店)","1"
"玄武区","明孝陵景区","1"
"官渡区","官渡森林公园","1"
"丘北县","普者黑风景区","1"
"黃大仙区","彩云村","1"
"泰山区","泰安汽车总站","1"
"昌乐县","昌乐桂河湿地公园","1"
"渝北区","花卉园","1"
"静安区","新德公寓","1"
"天心区","芙蓉南路","1"
"铁东区","玉佛山风景区-二一九公园","1"
"浦东新区","曹路(地铁站)","1"
"巴南区","巴滨路","1"
"海珠区","南洲(地铁站)","1"
"宝安区","福永(地铁站)","1"
"锦江区","成都IFS-座椅","1"
"沙依巴克区","新疆农业大学(老满城校区)","1"
"琼山区","东环广场","1"
"天桥区","南益·名泉春晓","1"
"天宁区","红梅公园","1"
"芝罘区","华信家园","1"
"襄都区","邢台学院","1"
"清新区","清新体育公园","1"
"渝北区","恒大中渝广场","1"
"北关区","曙光小区(永安街)","1"
"拱墅区","凤起路(地铁站)","1"
"甘州区","金阳国际饭店","1"
"罗定市","罗定风车山","1"
"金牛区","营门口","1"
"西乡塘区","万秀新村","1"
"惠阳区","惠阳碧桂园(公交站)","1"
"临潼区","西安市临潼区北十字仟禧自助涮烤店","1"
"章贡区","万福人家(金丰路)","1"
"江阳区","富华泸州桂圆","1"
"秦淮区","江南贡院","1"
"江南区","南宁吴圩国际机场","1"
"罗湖区","东门町广场","1"
"桓仁满族自治县","桓仁客运站","1"
"莲湖区","龙首原(地铁站)","1"
"黔江区","赤峰装饰","1"
"茅箭区","星语特教十堰中心校区","1"
"滨湖区","蠡湖大桥","1"
"吉阳区","三亚太阳湾柏悦酒店","1"
"顺德区","佛山一环","1"
"江城区","新都汇时代广场","1"
"宝塔区","延安新区","1"
"浦东新区","上海海洋大学(临港校区)","1"
"津南区","天津市咸水沽第一中学","1"
"渝中区","李子坝(地铁站)","1"
"鼓楼区","金陵饭店","1"
"洪山区","喻园小区一期","1"
"建德市","城中村村委会","1"
"兰山区","华润中心","1"
"江宁区","南京工程学院(江宁校区)","1"
"武进区","富克斯流行广场","1"
"市中区","济南大学主校区","1"
"南山区","南山公园","1"
"古城区","丽江和府洲际度假酒店","1"
"南岗区","红博会展购物广场","1"
"钱塘区","江东(公交站)","1"
"武昌区","楚河汉街","1"
"梁溪区","茂业天地(清扬店)","1"
"涧西区","华阳广场国际大饭店","1"
"香坊区","秋林食品(往事专卖店)","1"
"南湖区","南湖路","1"
"上城区","宁波银行(吴山小微企业专营支行)","1"
"清江浦区","钵池山公园","1"
"都江堰市","龙池国家森林公园","1"
"路桥区","台州市路桥中学","1"
"渝北区","重庆渝融豪生酒店","1"
"滨城区","上海世家","1"
"河西区","天津医学高等专科学校","1"
"朝阳区","望京","1"
"白云区","广州市白云山风景名胜区","1"
"宝安区","维也纳酒店(深圳国际会展中心西环路店)","1"
"徐汇区","环贸 iAPM","1"
"历城区","百花小区","1"
"渝北区","两路","1"
"福田区","深圳会展中心","1"
"武清区","武清仁和医院","1"
"南开区","南开大学校园快递","1"
"渝北区","黄泥塝","1"
"利津县","东营银行","1"
"渝北区","悦来会展中心","1"
"萨尔图区","大庆油田总医院","1"
"驿城区","驻马店市第四人民医院","1"
"邗江区","佳家花园","1"
"金牛区","抚琴(地铁站)","1"
"曹妃甸区","华北理工大学曹妃甸校区","1"
"九龙坡区","中新城上城地下停车场","1"
"福田区","深圳中心公园","1"
"南开区","三角洲军马酒(万明里店)","1"
"开州区","汉丰","1"
"章贡区","赣南师范大学","1"
"洪山区","武汉职业技术学院东区都市丽人服装学院","1"
